年月日,平均気温(℃),最高気温(℃),最低気温(℃)
2025/4/10,16.7,21.5,12.9
2025/4/11,16.2,21.6,12
2025/4/12,15.9,21.6,10.3
2025/4/13,13.8,18.3,9.1
2025/4/14,12.6,18.8,7.9
2025/4/15,11.5,14.4,9.6
2025/4/16,13.6,18.1,9.1
2025/4/17,18.3,24.3,11.6
2025/4/18,20,24.5,16.7
2025/4/19,21.4,28.1,17.2
2025/4/20,20.6,23,18.6
2025/4/21,19.1,24.6,13.7
2025/4/22,19.7,25.8,15
2025/4/23,19.3,22.4,17
2025/4/24,18.1,23.7,14.1
2025/4/25,16.8,22.2,12.4
2025/4/26,15.6,20.6,9.9
2025/4/27,18.4,25.2,11.2
2025/4/28,17,22.4,12.9
2025/4/29,15.1,20.1,11.8
2025/4/30,16.8,23.5,10
2025/5/1,19.5,25.3,13.4
2025/5/2,17.2,21.3,14.5
2025/5/3,17.3,23.3,11.5
2025/5/4,19.2,21.8,15.3
2025/5/5,19.4,25.1,14.1
2025/5/6,15.7,18.8,13.3
2025/5/7,16.6,21.9,12.7
2025/5/8,17.7,26.3,10.8
2025/5/9,18.7,23,16.1
2025/5/10,20.3,23.3,16.3
2025/5/11,18.6,22.5,14.8
2025/5/12,17.6,20.9,14.4
2025/5/13,20.6,26.3,14.5
2025/5/14,21.7,27.2,16.6
2025/5/15,21.9,26.2,18.3
2025/5/16,22,25.4,19.4
2025/5/17,22.4,26.6,19
2025/5/18,23.8,27.7,20.8
2025/5/19,21.9,25.1,19.6
2025/5/20,24.3,28.7,20.2
2025/5/21,24.4,29.5,21.9
2025/5/22,23.4,30.5,18.6
2025/5/23,21.5,27.3,17.1
2025/5/24,19.5,22,18
2025/5/25,18.7,20.5,15.7
2025/5/26,17.2,20.2,14.9
2025/5/27,19.5,25.7,14.8
2025/5/28,21.6,28.1,16.4
2025/5/29,21.2,23.8,19
2025/5/30,21,26,17.1
2025/5/31,20.1,22.6,18.4
2025/6/1,20.5,26.1,17.5
2025/6/2,21.2,28.1,15.9
2025/6/3,18.6,20.4,17.4
2025/6/4,22,26.1,18.1
2025/6/5,23.2,28.7,17.1
2025/6/6,23.6,28.1,18.7
2025/6/7,24.1,26.7,20.9
2025/6/8,22.9,26.1,21.4
2025/6/9,21.4,25,19.1
2025/6/10,21.9,25.1,19.1
2025/6/11,22,24.4,20.4
2025/6/12,23.4,27.7,19.7
2025/6/13,24.1,30.7,20
2025/6/14,23.7,26,21.7
2025/6/15,26.2,29.1,23.8
2025/6/16,27.9,33.6,23.4
2025/6/17,28.6,33.4,26.1
2025/6/18,29.3,34.1,25.4
2025/6/19,29.6,33.7,25.7
2025/6/20,28.4,34,24.5
2025/6/21,27.8,31.8,24.8
2025/6/22,29.5,34.2,25.4
2025/6/23,26.9,30,23.1
2025/6/24,25.6,29.1,22.7
2025/6/25,28,33,24.7
2025/6/26,27.1,28.5,25.6
2025/6/27,27.6,31.5,23.9
2025/6/28,28.2,33.5,23.4
2025/6/29,28.4,33.6,24
2025/6/30,29.4,34.4,25.9
2025/7/1,30.8,35.3,27
2025/7/2,30.9,35.4,28
2025/7/3,30.1,34.8,26.9
2025/7/4,30.3,34.3,27.2
2025/7/5,30.7,34.5,27.4
2025/7/6,30.9,34.9,28.4
2025/7/7,31.8,37.6,27.8
2025/7/8,29.9,34.1,28.3
2025/7/9,30.4,35.9,27
2025/7/10,30.7,36.6,26.4
2025/7/11,29.9,36.5,26.6
2025/7/12,29.5,34.7,26.3
2025/7/13,29.7,35.6,26.1
2025/7/14,28.2,34.2,25.4
2025/7/15,29.4,33.9,25.1
2025/7/16,29.4,34.8,25.4
2025/7/17,26.4,28.5,24.9
2025/7/18,28.6,34.5,24.7
2025/7/19,29.1,34.9,24.8
2025/7/20,29.7,34.4,26.2
2025/7/21,30.4,34.1,27.7
2025/7/22,30.7,35.5,28.1
2025/7/23,30.3,35.8,27.7
2025/7/24,30.6,36,27.5
2025/7/25,30.7,35.7,28.2
2025/7/26,30.6,36.2,26.9
2025/7/27,30.4,35.8,27.7
2025/7/28,30.9,36.8,27.9
2025/7/29,31.3,38.7,27.6
2025/7/30,31.3,37.8,27.6
2025/7/31,31.3,37,28.4
