年月日,平均気温(℃),最高気温(℃),最低気温(℃)
2020/11/27,14.8,18.6,11.5
2020/11/28,11.6,15.3,8.6
2020/11/29,10.6,14.1,7.0
2020/11/30,10.7,15.3,7.1
2020/12/1,10.7,14.5,7.0
2020/12/2,10.9,16.2,6.5
2020/12/3,11.2,16.0,7.5
2020/12/4,10.5,14.6,7.8
2020/12/5,10.1,14.8,5.8
2020/12/6,10.4,15.2,5.8
2020/12/7,11.3,16.0,5.9
2020/12/8,11.8,15.7,8.2
2020/12/9,10.2,13.9,7.5
2020/12/10,10.7,16.0,6.0
2020/12/11,12.3,17.0,8.4
2020/12/12,12.6,15.9,10.5
2020/12/13,11.0,12.7,8.9
2020/12/14,9.2,12.4,5.9
2020/12/15,5.6,8.8,3.4
2020/12/16,4.6,8.1,2.6
2020/12/17,4.7,8.1,1.3
2020/12/18,7.1,10.3,2.3
2020/12/19,6.5,9.0,4.3
2020/12/20,5.5,8.0,2.0
2020/12/21,6.3,10.4,2.1
2020/12/22,7.4,11.6,2.1
2020/12/23,8.2,12.4,4.1
2020/12/24,7.2,9.3,4.9
2020/12/25,8.3,12.2,5.8
2020/12/26,7.4,11.0,4.2
2020/12/27,7.6,12.5,3.1
2020/12/28,9.0,13.2,6.2
2020/12/29,8.9,13.3,4.7
2020/12/30,7.4,12.4,2.4
2020/12/31,3.7,6.8,1.9
2021/1/1,4.6,7.6,2.3
2021/1/2,5.6,9.2,3.3
2021/1/3,6.1,9.2,3.9
2021/1/4,6.1,10.0,3.0
2021/1/5,6.1,8.9,3.0
2021/1/6,6.8,8.9,4.5
2021/1/7,3.3,7.5,-1.2
2021/1/8,0.2,2.9,-1.5
2021/1/9,0.9,4.3,-1.3
2021/1/10,2.5,6.1,-1.4
2021/1/11,3.4,6.8,-0.3
2021/1/12,3.2,5.0,0.4
2021/1/13,5.5,9.6,1.1
2021/1/14,7.5,13.4,2.0
2021/1/15,9.3,15.1,3.7
2021/1/16,8.6,12.6,5.7
2021/1/17,6.8,9.4,3.8
2021/1/18,4.6,7.6,0.2
2021/1/19,4.1,6.3,2.3
2021/1/20,4.7,8.6,2.1
2021/1/21,7.2,14.1,1.2
2021/1/22,8.5,9.7,7.3
2021/1/23,8.6,9.8,7.2
2021/1/24,8.3,9.5,7.2
2021/1/25,10.1,14.6,7.3
2021/1/26,12.1,19.0,6.7
2021/1/27,11.6,14.7,8.2
2021/1/28,8.6,12.7,5.1
2021/1/29,3.8,10.2,1.4
2021/1/30,4.8,9.2,-0.2
2021/1/31,7.7,11.8,4.7
2021/2/1,7.9,14.6,2.8
2021/2/2,9.5,13.7,4.8
2021/2/3,5.7,8.2,3.9
2021/2/4,6.7,10.2,4.1
2021/2/5,7.3,11.5,1.9
2021/2/6,10.8,14.9,6.6
2021/2/7,9.6,14.2,5.3
2021/2/8,6.8,10.8,3.0
2021/2/9,4.7,8.1,1.4
2021/2/10,7.8,11.0,4.8
2021/2/11,9.8,14.4,6.4
2021/2/12,10.1,14.6,6.5
2021/2/13,13.7,19.8,9.7
2021/2/14,14.5,20.5,9.1
2021/2/15,13.1,16.4,10.6
2021/2/16,8.4,10.7,6.4
2021/2/17,3.9,8.3,0.2
2021/2/18,2.6,6.9,-0.4
2021/2/19,5.1,8.4,2.3
2021/2/20,10.0,15.2,3.1
2021/2/21,13.6,19.5,8.6
2021/2/22,14.7,20.2,8.2
2021/2/23,10.5,15.5,5.3
2021/2/24,6.3,11.3,3.4
2021/2/25,7.5,13.1,1.6
2021/2/26,7.6,9.4,5.7
2021/2/27,6.7,11.1,4.4
2021/2/28,9.5,16.0,4.0
2021/3/1,14.3,20.1,8.4
2021/3/2,10.3,16.5,4.9
2021/3/3,6.8,11.6,4.2
2021/3/4,11.0,17.4,4.3
2021/3/5,12.0,13.7,10.1
2021/3/6,11.7,17.0,6.7
2021/3/7,8.5,12.2,4.8
2021/3/8,8.5,13.1,5.5
2021/3/9,9.2,15.6,4.2
2021/3/10,11.1,18.1,6.4
2021/3/11,10.2,16.8,3.9
2021/3/12,11.9,16.1,8.8
2021/3/13,11.5,15.0,9.5
2021/3/14,10.8,14.2,8.2
2021/3/15,11.8,16.3,6.0
2021/3/16,13.8,18.1,8.8
2021/3/17,12.1,17.5,7.2
2021/3/18,11.4,19.3,5.5
2021/3/19,13.3,20.9,7.8
2021/3/20,15.4,20.9,9.1
2021/3/21,14.4,18.7,11.2
2021/3/22,10.1,13.5,7.7
2021/3/23,10.3,14.8,5.5
2021/3/24,13.5,19.1,7.1
2021/3/25,14.0,16.1,11.8
2021/3/26,13.4,20.8,8.7
2021/3/27,14.0,20.9,8.0
2021/3/28,15.8,17.4,14.6
2021/3/29,16.6,20.7,13.4
2021/3/30,16.5,21.9,12.5
2021/3/31,15.3,22.3,10.8
2021/4/1,16.3,24.1,10.0
2021/4/2,18.8,24.6,14.5
2021/4/3,18.0,22.5,14.8
2021/4/4,17.0,20.7,13.4
2021/4/5,12.4,16.5,9.5
2021/4/6,11.5,16.7,8.0
2021/4/7,14.2,20.0,9.8
2021/4/8,14.9,20.3,10.0
2021/4/9,11.9,17.7,7.3
2021/4/10,11.1,17.9,5.5
2021/4/11,13.7,20.4,7.2
2021/4/12,16.7,22.7,11.3
2021/4/13,17.9,22.4,14.9
2021/4/14,14.7,19.6,8.9
2021/4/15,13.3,19.5,7.2
2021/4/16,16.2,20.1,12.7
2021/4/17,13.8,14.7,12.5
2021/4/18,12.2,15.2,10.2
2021/4/19,13.5,17.8,7.2
2021/4/20,17.0,23.7,10.3
2021/4/21,19.3,25.6,12.9
2021/4/22,19.4,26.7,12.8
2021/4/23,18.1,25.4,12.6
2021/4/24,18.0,22.3,14.9
2021/4/25,16.8,23.7,11.2
2021/4/26,13.5,20.7,9.3
2021/4/27,15.5,20.7,8.6
2021/4/28,16.8,19.8,13.7
2021/4/29,15.3,16.9,13.1
2021/4/30,18.0,23.6,14.1
2021/5/1,18.3,25.6,13.2
2021/5/2,14.1,17.2,11.8
2021/5/3,15.7,20.4,10.5
2021/5/4,18.5,23.6,12.1
2021/5/5,17.3,19.9,15.9
2021/5/6,19.2,24.9,13.7
2021/5/7,17.6,20.7,15.6
2021/5/8,18.7,22.4,14.6
2021/5/9,20.5,25.4,15.5
2021/5/10,19.1,24.9,12.6
2021/5/11,18.9,24.3,15.3
2021/5/12,17.7,21.4,14.7
2021/5/13,21.1,26.6,15.9
2021/5/14,22.9,28.7,19.6
2021/5/15,22.8,27.2,19.3
2021/5/16,21.0,23.6,19.4
2021/5/17,23.0,26.1,19.7
2021/5/18,22.2,26.5,20.7
2021/5/19,21.2,22.3,19.9
2021/5/20,20.3,23.5,18.4
2021/5/21,21.3,24.3,19.0
2021/5/22,19.4,23.0,17.5
2021/5/23,21.9,26.1,17.1
2021/5/24,20.0,25.1,16.3
2021/5/25,21.1,24.9,17.0
2021/5/26,20.5,23.2,17.6
2021/5/27,16.8,20.3,14.3
2021/5/28,20.6,23.7,18.0
2021/5/29,22.8,26.7,18.8
2021/5/30,21.8,27.1,16.7
2021/5/31,22.2,28.5,16.4
2021/6/1,23.2,30.1,18.3
2021/6/2,23.4,28.2,19.8
2021/6/3,22.9,28.4,19.2
2021/6/4,20.3,23.1,17.7
2021/6/5,20.7,23.9,17.0
2021/6/6,22.7,27.3,19.0
2021/6/7,25.0,29.7,20.4
2021/6/8,26.0,30.7,20.7
2021/6/9,25.9,32.2,20.9
2021/6/10,25.2,32.1,21.7
2021/6/11,24.3,28.7,20.7
2021/6/12,24.6,28.0,22.3
2021/6/13,23.6,26.5,20.3
2021/6/14,24.5,29.8,20.7
2021/6/15,25.3,30.8,22.6
2021/6/16,21.9,24.1,20.8
2021/6/17,24.5,29.7,20.5
2021/6/18,23.5,25.3,20.8
2021/6/19,21.0,22.1,19.8
2021/6/20,23.2,28.2,19.1
2021/6/21,24.5,31.3,19.0
2021/6/22,24.1,27.6,22.0
2021/6/23,24.8,31.0,21.1
2021/6/24,24.7,30.3,20.7
2021/6/25,25.5,30.9,22.6
2021/6/26,24.1,26.8,22.1
2021/6/27,23.7,26.0,22.0
2021/6/28,24.9,29.4,21.3
2021/6/29,24.6,30.2,20.8
2021/6/30,25.1,31.4,21.8
2021/7/1,23.1,25.5,21.6
2021/7/2,24.8,27.0,22.8
2021/7/3,27.1,31.0,24.3
2021/7/4,27.5,30.9,24.7
2021/7/5,28.3,31.7,26.3
2021/7/6,28.4,32.5,26.0
2021/7/7,25.4,27.8,23.4
2021/7/8,25.5,28.3,23.6
2021/7/9,26.7,29.9,24.9
2021/7/10,27.8,31.2,25.5
2021/7/11,28.3,32.3,25.6
2021/7/12,26.9,32.3,24.0
2021/7/13,27.3,31.9,23.5
2021/7/14,26.2,33.0,21.9
2021/7/15,25.9,31.3,20.9
2021/7/16,26.7,31.0,22.6
2021/7/17,28.6,33.4,25.4
